2011-11-27 22:43:12 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-27 22:43:12 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 28
2011-11-27 22:43:12 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/admin/index.php:79) in /home/students/dig4530c_group04/public_html/v2/system/engine/controller.php on line 29
2011-11-27 23:24:44 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 0:23:42 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 0:41:31 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 0:41:41 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 1:53:00 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 2:10:57 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 2:20:07 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 2:32:06 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 2:34:06 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 2:37:33 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 2:52:04 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 3:10:14 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 3:10:14 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:100) in /home/students/dig4530c_group04/public_html/v2/system/library/captcha.php on line 40
2011-11-28 3:14:17 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 3:21:01 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 3:39:38 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 10:50:55 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 10:53:28 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 11:03:01 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 11:55:19 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 12:07:42 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 13:36:20 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 14:01:17 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 15:36:50 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-28 15:36:50 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/index.php on line 179
2011-11-28 15:36:50 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/system/library/currency.php on line 45
2011-11-28 15:41:37 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-30 11:00:06 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-30 11:00:06 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/index.php on line 179
2011-11-30 11:00:06 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/system/library/currency.php on line 45
2011-11-30 21:57:28 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-11-30 21:57:28 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/index.php on line 179
2011-11-30 21:57:28 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/system/library/currency.php on line 45
2011-12-01 3:41:51 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
2011-12-01 3:41:51 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/index.php on line 179
2011-12-01 3:41:51 - PHP Warning:  Cannot modify header information - headers already sent by (output started at /home/students/dig4530c_group04/public_html/v2/index.php:104) in /home/students/dig4530c_group04/public_html/v2/system/library/currency.php on line 45
2011-12-06 20:48:19 - PHP Notice:  session_start() [<a href='function.session-start'>function.session-start</a>]: ps_files_cleanup_dir: opendir(/var/lib/php5) failed: Permission denied (13) in /home/students/dig4530c_group04/public_html/v2/system/library/session.php on line 11
